cbsa	cbsa_name	medrent	ca	pnewmf
24780	"Greenville, NC"	680	0	
24860	"Greenville-Anderson-Mauldin, SC Metro Area"	692	0	1.976336
25060	"Gulfport-Biloxi-Pascagoula, MS"	822	0	
25180	"Hagerstown-Martinsburg, MD-WV"	710	0	
25260	"Hanford-Corcoran, CA"	824	1	
25420	"Harrisburg-Carlisle, PA Metro Area"	788	0	.5820732
25500	"Harrisonburg,* VA"	738	0	
25540	"Hartford-West Hartford-East Hartford, CT Metro Area"	919	0	.6102021
25620	"Hattiesburg, MS"	701	0	
25860	"Hickory-Lenoir-Morganton, NC"	623	0	
25980	"Hinesville, GA"	890	0	
26180	"Urban Honolulu, HI Metro Area"	1363	0	1.57078
26300	"Hot Springs, AR"	682	0	
26380	"Houma-Thibodaux, LA"	685	0	
26420	"Houston-The Woodlands-Sugar Land, TX Metro Area"	846	0	2.575348
26580	"Huntington-Ashland, WV-KY-OH"	570	0	
26620	"Huntsville, AL"	689	0	
26820	"Idaho Falls, ID"	647	0	
26900	"Indianapolis-Carmel-Anderson, IN Metro Area"	746	0	1.305501
26980	"Iowa City, IA"	807	0	
27060	"Ithaca, NY"	890	0	
27100	"Jackson, MI"	658	0	
27140	"Jackson, MS Metro Area"	779	0	.0179537
27180	"Jackson, TN"	701	0	
27260	"Jacksonville, FL Metro Area"	908	0	1.597931
27340	"Jacksonville, NC"	938	0	
27500	"Janesville-Beloit, WI"	698	0	
27620	"Jefferson City, MO"	590	0	
27740	"Johnson City, TN"	596	0	
27780	"Johnstown, PA"	550	0	
27860	"Jonesboro, AR"	597	0	
27900	"Joplin, MO"	592	0	
28020	"Kalamazoo-Portage, MI"	683	0	
28100	"Kankakee, IL"	707	0	
28140	"Kansas City, MO-KS Metro Area"	766	0	1.723843
28420	"Kennewick-Richland, WA"	717	0	
28660	"Killeen-Temple, TX"	810	0	
28700	"Kingsport-Bristol-Bristol, TN-VA"	553	0	
28740	"Kingston, NY"	979	0	
28940	"Knoxville, TN Metro Area"	690	0	1.063343
29020	"Kokomo, IN"	604	0	
29100	"La Crosse-Onalaska, WI-MN"	660	0	
29180	"Lafayette, LA"	687	0	
29340	"Lake Charles, LA"	726	0	
29420	"Lake Havasu City-Kingman, AZ"	762	0	
29460	"Lakeland-Winter Haven, FL Metro Area"	828	0	.4166696
29540	"Lancaster, PA"	822	0	
29620	"Lansing-East Lansing, MI"	760	0	
29700	"Laredo,* TX"	677	0	
29740	"Las Cruces,* NM"	641	0	
29820	"Las Vegas-Henderson-Paradise, NV Metro Area"	986	0	1.738337
29940	"Lawrence, KS"	820	0	
30020	"Lawton, OK"	663	0	
30140	"Lebanon, PA"	692	0	
30300	"Lewiston, ID-WA"	636	0	
30340	"Lewiston-Auburn, ME"	640	0	
30460	"Lexington-Fayette, KY"	696	0	
30620	"Lima, OH"	642	0	
30700	"Lincoln, NE"	685	0	
30780	"Little Rock-North Little Rock-Conway, AR Metro Area"	731	0	1.069955
30860	"Logan, UT-ID"	581	0	
30980	"Longview, TX"	726	0	
31020	"Longview, WA"	691	0	
31100	"Los Angeles-Long Beach-Anaheim, CA Metro Area"	1196	1	1.823964
