tract,medhhinc,medhhinc_se2
06007002602,43088,4477919.087961124
06007002700,47638,7533272.9741964685
06007002800,30089,11178758.51110023
06007002900,46458,18180244.4545043
06007003001,28636,14214504.3005885
06007003002,34590,28067451.3354459
06007003100,47245,4342599.939024953
06007003200,38475,21418046.396467138
06007003300,45859,24672810.118162252
06007003400,49729,25630060.32834139
06007003501,55671,85863600.29933204
06007003502,40362,16603767.149231806
06007003600,56964,14177857.189050362
06007003700,32059,16307849.705749206
06009000120,72292,111947977.19902807
06009000121,54400,84617630.65751424
06009000122,43981,10835903.215971768
06009000210,79322,22639084.635212168
06009000220,54971,41875453.84835691
06009000300,41266,17243950.443916813
06009000400,33917,8239866.224443603
06009000501,52832,20400735.39601445
06009000503,66034,55409696.88011012
06009000504,41528,156637778.29103574
06011000100,63750,27280776.78513687
06011000200,56400,61954602.784527116
06011000300,59830,35912515.220665
06011000400,49073,8087022.10807365
06011000500,51654,2234525.1799225803
06013301000,66029,113600609.38091852
06013302005,53327,31591916.55657283
06013302006,95640,37809416.02535084
06013302007,73362,4807955.950148281
06013302008,95972,56391426.16938129
06013302009,99563,40858907.4380318
06013302010,117500,28177058.23116934
06013303102,109514,69501869.34710507
06013303103,76842,59838924.25236277
06013303201,113085,75779935.51426907
06013303202,109338,137110575.1055515
06013303203,117128,85301225.59843312
06013303204,68523,33675267.59730601
06013303205,86471,75684711.33858705
06013304001,117917,193607346.9387755
06013304002,68750,209255131.05015656
06013304003,115265,177983173.1044613
06013304004,109773,37959082.04839202
06013304005,119583,60953852.60668323
06013305000,47787,22552394.748755094
06013306002,76111,47681333.690560885
06013306003,53618,16678162.249055348
06013306004,62796,63660027.16161159
06013307101,71062,16043798.930165095
06013307102,44961,28507160.502951745
06013307201,50781,25901602.53508375
06013307202,35723,16862381.1679493
06013307204,62010,10863936.585951718
06013307205,41814,78395146.01675889
06013308001,65385,28209336.203471888
06013308002,97375,68743755.50854112
06013309000,64722,49212996.92353175
06013310000,53103,16897347.215934813
06013311000,54290,13463769.181733353
06013312000,34239,36630088.783363044
06013313101,45865,54508374.83023992
06013313102,66680,16087657.726739403
06013313103,92279,23485660.332036838
06013313203,81417,7660612.522057259
06013313204,74265,83048043.16294196
06013313205,83281,49580432.18373814
06013313206,61218,6257601.093855378
06013314102,57135,24263858.98134718
06013314103,45570,9946450.605593074
06013314104,40129,38327013.23897599
06013314200,46087,49760373.98028473
06013315000,85793,56738899.67757134
06013316000,31042,86337422.97281069
06013317000,70793,48940443.639655955
06013318000,77934,40991130.53279256
06013319000,82743,47003735.73784425
06013320001,75391,132620776.23081829
06013320003,124250,95468936.53975852
06013320004,96579,103618785.8574847
06013321101,105039,136868663.44545966
06013321102,123834,5906820.520874715
06013321103,120658,75917587.2358903
06013321200,73e3,31769841.00294713
06013322000,105625,140808159.56984875
06013323000,105641,38266821.62951192
06013324001,90223,60366759.730601154
06013324002,97368,38863286.55500226
06013325000,101027,204394388.07845455
06013326000,128587,163746639.4434641
06013327000,54745,74504707.45835683
06013328000,33839,13109241.78453636
06013329000,83082,23650927.09786495
06013330000,78351,17522748.681183655
06013331000,68349,18310075.110170823
06013332000,103418,25298759.619737435
06013333101,89259,11750933.934461063
06013333102,92787,38357126.78190334
06013333200,99394,45712395.11830083
06013334001,86125,96588867.06516016
06013334004,68686,72213834.31416932
06013334006,120873,39556070.62019013
06013334200,170494,269199323.73130333
06013335000,77348,85177751.12942414
06013336101,51404,77183434.74284236
06013336102,39186,14662614.351308651
06013336201,57778,58678393.954231754
06013336202,40861,14444620.430336008
06013337100,98665,48169506.56405613
06013337200,72624,21825084.764553174
06013337300,114316,56145185.65053908
06013338101,62375,69633698.50611135
06013338102,106895,125930691.69723119
06013338201,105573,30033065.104720023
06013338203,96375,66573695.36497261
06013338204,93803,36292384.586247355
06013338301,129333,530175119.9637846
06013338302,165463,217369761.55061394
06013339001,77422,18765486.645540968
06013339002,73083,74809354.68075868
06013340001,61803,71266440.25831246
06013340002,132773,245165158.8584732
06013341000,118821,79410308.84784877
06013343001,100625,191212575.2718471
06013343002,97532,34763389.47348972
06013343003,146786,115408979.59183674
06013345101,134628,134517693.2955165
06013345102,134458,46124327.75011318
06013345103,136607,23186127.622619893
06013345105,132004,138380540.09109303
06013345108,121583,22876885.468537796
06013345111,128631,136470686.338818
06013345112,111597,129890708.32678929
06013345113,167045,202123693.97917607
06013345114,155298,254698315.42576286
06013345115,186250,338962794.50485486
06013345116,162841,88337144.33532579
06013345202,123787,33281325.93010042
06013345203,131168,94745667.16863297
06013345204,205250,369223817.5922247
06013346101,152136,164104666.0692344
06013346102,235179,348724406.09380925
06013346201,164052,912260317.2550142
06013346203,132384,134602313.35630673
06013346204,184814,38500327.602294885
06013347000,175431,942172762.2619894
06013348000,201250,226351567.70539814
06013349000,116206,54275241.729104504
06013350000,113846,242185493.48213705
06013351101,53389,29265140.19641356
06013351102,45892,6995944.605094189
06013351103,85671,52639655.95291986
06013351200,201731,504678273.4823218
06013352101,177431,62799603.107879646
06013352102,179250,128233251.35577092
06013352201,106406,82285301.872673
06013352202,109677,205125081.99296018
06013353001,165956,133349845.62226881
06013353002,194519,280771277.42722255
06013354001,177727,198407346.93877554
06013354002,238750,304942887.0760618
06013355107,100385,22981678.29195961
06013355108,93688,84505828.2905738
06013355109,107250,252974342.80910188
06013355110,89755,55274027.401816316
06013355111,83786,54751003.409059405
06013355112,166771,327159030.68153477
06013355113,185500,384422172.3746085
06013355114,185469,184381729.28927118
06013355115,107821,47137197.91945751
06013355116,187759,186650410.10338038
06013355117,241552,39640228.379264794
06013355200,109951,122556340.38857736
06013355301,120233,22592829.334540516
06013355302,206532,373135568.2227622
06013355304,137170,32299701.961363994
06013355306,137727,129115903.95506322
06013356001,87981,30561741.299507577
06013356002,141667,35694268.89995473
06013357000,90833,22270366.681756448
06013358000,60132,29780408.163265303
06013359102,75463,77429301.28139983
06013359103,78348,25988302.399275687
06013359104,79125,66792116.11127022
06013359105,115288,33830664.53561959
06013359202,89763,64907755.471586555
06013359203,97616,38832974.93556046
06013359204,124205,64136242.643730186
06013360101,82069,34641632.65306122
06013360102,115082,81273787.19708797
06013360200,71612,35570891.25192857
06013361000,75915,24377780.693083026
06013362000,75455,18670804.593453497
06013363000,75964,28669677.47895899
06013364002,68923,38575803.62339594
06013365002,50313,69765652.5715764
06013365003,61775,75314964.20025682
06013366001,58731,8439996.30454264
06013366002,57188,3029081.0321412403
06013367100,59598,71904214.1147994
06013367200,51953,51936336.50834712
06013368001,48281,19817381.214142516
06013368002,45588,7134906.735894901
06013369001,36732,17436335.95402851
06013369002,58319,55319232.08396079
06013370000,90781,12196866.252159532
06013371000,76942,23303362.311878126
06013372000,54957,44075069.890337296
06013373000,52426,15421734.832457202
06013374000,47672,41349981.61509964
06013375000,56453,35426014.54162471
06013376000,38856,6142562.984451362
06013377000,33932,7317929.435241729
06013378000,97313,75652983.25033952
06013379000,41111,3826839.7372529814
06013380000,79277,46422063.35861642
06013381000,46413,27210968.48698737
06013382000,40542,10724131.890873143
06013383000,76192,55954037.74909692
06013384000,101e3,24582306.51971065
06013385100,146705,173246405.3362404
06013385200,111765,147404692.86130023
06013386000,60920,28826128.36171136
06013387000,74943,67579393.76022024
06013388000,89146,51586450.60559308
06013389100,85972,94178470.63497195
06013389200,65972,63485536.53421531
06013390100,130833,106723343.64981847
06013390200,109226,92639162.23981671
06013391000,140809,63311285.3724559
06013392000,150326,211194218.8265075
06013392200,78105,39487280.79008879
06013392300,145833,47933526.48257129
06013990000,.,.
06015000101,25779,6874278.323370996
06015000102,33908,8073198.141184947
06015000104,25909,30407346.938775513
06015000105,54828,20236324.498110697
06015000201,50741,44374225.663103625
06015000202,50239,24461893.737123642
06015000203,32232,12594947.940244453
06015990000,.,.
06017030200,54071,6543643.905728882
06017030301,48269,71595259.09775409
06017030302,36782,20992551.436147116
06017030401,56339,115004436.76610526
06017030402,37868,57409409.00398185
06017030502,89583,304964118.5872267
06017030504,70435,99053920.04878005
06017030505,63194,39701490.19318003
06017030601,90517,91915056.5866908
06017030602,67168,31742435.49117247
06017030603,52194,100840665.18232462
06017030701,127115,266235264.27139437
06017030704,106761,12938124.740163155
06017030706,117179,127477140.45509557
06017030709,135250,94213870.52965143
06017030710,137386,20094373.11185225
06017030801,89722,47496815.0700751
06017030803,75839,44861493.888637386
06017030804,91035,95754255.41153538
06017030807,100469,84919866.2244436
06017030808,97813,198544374.49764875
06017030809,77212,50838200.31226615
06017030810,50893,105346201.90131281
06017030901,86571,74756784.95209764
06017030902,104125,39372764.10971814
06017031000,52500,31509966.09417873
06017031100,59482,22673807.152557716
06017031200,55707,13410288.522833306
06017031301,76346,38432462.37562476
06017031302,40417,59754309.73475855
06017031402,52819,16068157.537347216
06017031404,77361,39227948.37446069
06017031405,73611,26081355.86330503
06017031406,77469,33915577.2766327
06017031502,50042,69157675.9268669
06017031503,70781,95018052.3091989
06017031504,58269,48135759.64745337
06017031600,36014,70213193.15231752
06017031700,168654,73188285.0306261
06017031800,153583,73157084.65368944
06017031900,77e3,57179339.06745133
06017032000,77917,91031319.00111786
06017990000,.,.
06019000100,12468,10843909.054794393
06019000200,22159,2831394.3884480004
06019000300,27212,31264753.28202807
06019000400,28318,10823900.000923865
06019000501,19207,7200005.912731774
06019000502,32500,18797100.544156093
06019000600,16581,4100317.2550142733
06019000700,21606,2880706.5714470483
06019000800,23594,17732034.626435455
06019000901,26061,9227560.351437993
06019000902,19250,3546753.633096516
06019001000,26817,2709976.4414593363
06019001100,32679,19263827.93950536
06019001201,38033,13193013.73786273
06019001202,31875,49932050.14735636
06019001301,27349,15393100.950656405
06019001303,31802,3050278.1755527016
06019001304,28098,23022495.727127425
06019001407,22972,6851982.520486692
06019001408,17083,2473210.336194233
06019001409,82917,368826771.3712918
06019001410,60357,10720150.774660248
06019001411,47127,23834576.916325606
06019001412,68182,183738437.00631002
06019001413,83750,30106401.82555594
06019001414,76339,185009608.1891335
06019001500,39201,5310993.431324544
06019001600,41311,23034164.503284335
06019001700,55197,14072760.229487902
06019001800,55e3,19013840.96599255
06019001900,51061,12685722.046174739
06019002000,23603,8418816.899326503
06019002100,35194,78212250.0715995
06019002200,38590,18289271.16342236
06019002300,29207,13477155.97601648
06019002400,21919,29423205.254940365
06019002501,25253,3352572.1307083266
06019002502,17549,3746401.456010199
06019002601,30789,42538942.17533097
06019002602,42900,29015741.170166574
06019002701,27080,20809126.301493887
06019002702,24146,2695984.3312607976
06019002800,21819,1611124.8048336583
06019002903,21861,2331886.808141093
06019002904,36920,21059451.039809313
06019002905,32813,36888085.291155845
06019002906,42750,18749689.673968274
06019003001,38590,5152486.026551861
06019003003,26493,13633826.73848172
06019003004,51875,20903517.5210872
06019003102,36920,12547529.679141914
06019003103,33542,39693829.87962048
06019003104,41301,18175060.83646677
06019003201,41493,23397362.921628583
06019003202,24009,78977526.44561672
06019003301,32973,17405888.341755893
06019003302,27768,26019301.743332006
06019003400,28073,16180445.117838895
06019003500,41979,40116244.67623174
06019003600,59718,56565029.51746565
06019003701,34327,46074798.27422141
06019003702,33942,56090538.70529652
06019003803,62639,55274027.401816316
06019003804,57406,36932404.172171354
06019003805,30009,3814956.994114984
06019003807,34347,26945250.321042858
06019003808,57625,55554594.2849752
06019003809,47962,24311793.497842778
06019003810,62997,18315277.944586612
06019003900,42431,19579952.51337293
06019004001,56154,127490867.97054721
06019004002,41141,22339270.70149019
06019004100,52893,26155918.367346942
06019004205,44093,41318715.08947626
06019004207,71316,90787881.11713678
06019004208,84063,9194351.123880967
06019004210,45903,19969217.209744923
06019004211,66691,11440432.368511006
06019004212,44567,16882357.332249332
06019004213,63673,19226492.364261232
06019004214,78526,26913704.0492974
06019004215,75260,42064489.79591836
06019004216,69103,125099805.43417005
06019004301,126250,202625273.6024242
06019004302,88077,24666771.37129184
06019004303,92500,88142990.5488678
06019004404,34175,15436061.75109247
06019004405,103075,23063349.377777364
06019004406,53333,24570251.937805448
06019004408,86750,130890291.10965343
06019004409,54082,6187845.271200376
06019004503,57722,18997939.782522332
06019004504,37527,51848754.16893784
06019004505,40644,25982104.747738846
06019004506,78438,60196845.557598315
06019004601,66359,66365536.53421531
06019004602,81273,10815901.553015955
06019004701,36105,2750153.4538668343
06019004703,33624,1300570.393843368
06019004704,25250,39939326.50289632
06019004801,34016,19451049.047957797
06019004802,28598,4696639.905396291
06019004901,48750,63127613.3812511
06019004902,66898,75928181.00350143
06019005000,49375,30898730.056078564
06019005100,33844,51603916.81525485
06019005202,25885,9615654.326918636
06019005203,3e4,14173279.626019713
06019005204,31861,9514130.87462237
06019005301,41064,14751202.963756802
06019005302,33906,43351617.59407248
06019005304,33036,4696639.905396291
06019005305,40523,57170145.87817925
06019005403,19464,23034164.503284335
06019005405,71915,25858306.92621096
06019005406,66466,31530443.732042387
06019005407,62188,18607816.26186011
06019005408,18482,33625898.1347179
06019005409,32063,9934950.711837472
06019005410,55101,26731100.045269355
06019005503,96500,182241793.40545633
06019005504,91094,158683413.49396256
06019005505,98846,203682349.20224312
06019005507,95799,68763917.92389204
06019005508,94107,72399925.72130708
06019005509,71422,50933601.869901426
06019005510,59545,38984651.287404954
06019005512,86172,112695325.80075942
06019005513,105e3,224143673.46938774
06019005514,95734,56839683.29930433
06019005515,96e3,137110575.1055515
06019005516,78911,78137002.06021748
06019005517,109375,292586744.0249074
06019005518,107835,58352881.44048928
06019005520,130795,128040574.64361933
06019005522,119647,65339458.80026977
06019005524,131336,37884212.08229784
06019005525,109569,236916658.19791025
06019005602,34223,13633826.73848172
06019005605,92721,17880816.326530613
06019005606,71250,27198285.677331142
06019005607,39004,12815964.745336793
06019005608,40617,7235936.4750879975
06019005701,47339,91565702.82979646
06019005702,77900,114730795.17003722
06019005703,77003,17052632.181890406
06019005704,47829,29114060.660932552
06019005801,57500,12802910.54221598
06019005802,115363,41154759.84146488
06019005804,55450,120652529.44817582
06019005805,83082,10904047.080126753
06019005904,83664,37429105.79170554
06019005905,94070,116416884.91421919
06019005906,84750,24908897.737456232
06019005907,96172,52966540.95952551
06019005909,104844,107818871.22254966
06019005911,93214,72824694.52425607
06019005912,94327,88222910.3574431
06019006000,49255,85593429.84636137
06019006100,43967,110320223.94471596
06019006201,29095,31244362.117866613
06019006202,42007,8646102.308736986
06019006300,74375,130723427.90624624
06019006402,73667,14938577.433689637
06019006403,66724,23467987.546308704
06019006404,80948,92008329.93043303
06019006405,66907,23721933.09374451
06019006501,27284,10061815.393427629
06019006502,25208,13606904.592529634
06019006602,31174,7403692.131447418
06019006603,45930,11130031.688546853
06019006604,39783,9694989.514139744
06019006700,50139,90486933.41709703
06019006802,33090,42507229.238458626
06019006900,31250,566382.0548590644
06019007002,34236,6410593.028519693
