stplfips,place,varname,units,units_se2,total,total_se2,share,share_se2
0600135,"Acalanes Ridge CDP, California",ownocc,279,3265.3061224489793,305,3621.9177575964745,0.9147540983606557,0.06768112413943028
0600135,"Acalanes Ridge CDP, California",own_1det,263,3127.8351086926396,305,3621.9177575964745,0.8622950819672132,0.0046734532468997395
0600135,"Acalanes Ridge CDP, California",own_1att,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",own_2,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",own_3to4,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",own_5to9,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",own_10to19,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",own_20to49,16,230.96608494008737,305,3621.9177575964745,0.05245901639344262,0.002375692062979135
0600135,"Acalanes Ridge CDP, California",own_50plus,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",own_mobile,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",own_boatrv,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",rentocc,26,355.1334522038784,305,3621.9177575964745,0.08524590163934426,0.0035346785203881014
0600135,"Acalanes Ridge CDP, California",rent_1det,26,355.1334522038784,305,3621.9177575964745,0.08524590163934426,0.0035346785203881014
0600135,"Acalanes Ridge CDP, California",rent_1att,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",rent_2,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",rent_3to4,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",rent_5to9,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",rent_10to19,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",rent_20to49,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",rent_50plus,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",rent_mobile,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600135,"Acalanes Ridge CDP, California",rent_boatrv,0,53.21458597019614,305,3621.9177575964745,0,5.720460733157339e-4
0600156,"Acampo CDP, California",ownocc,119,4635.5817111815295,183,5866.908103214125,0.6502732240437158,0.06434138747463039
0600156,"Acampo CDP, California",own_1det,119,4635.5817111815295,183,5866.908103214125,0.6502732240437158,0.06434138747463039
0600156,"Acampo CDP, California",own_1att,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",own_2,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",own_3to4,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",own_5to9,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",own_10to19,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",own_20to49,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",own_50plus,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",own_mobile,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",own_boatrv,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",rentocc,64,2191.0366681756454,183,5866.908103214125,0.34972677595628415,0.04399838973419298
0600156,"Acampo CDP, California",rent_1det,64,2191.0366681756454,183,5866.908103214125,0.34972677595628415,0.04399838973419298
0600156,"Acampo CDP, California",rent_1att,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",rent_2,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",rent_3to4,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",rent_5to9,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",rent_10to19,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",rent_20to49,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",rent_50plus,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",rent_mobile,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600156,"Acampo CDP, California",rent_boatrv,0,53.21458597019614,183,5866.908103214125,0,0.0015890168703214828
0600212,"Acton CDP, California",ownocc,2388,9108.932844301144,2626,6635.563233894734,0.9093678598629094,5.251913551498706e-4
0600212,"Acton CDP, California",own_1det,2205,8993.265028963146,2626,6635.563233894734,0.8396801218583397,6.257039500871891e-4
0600212,"Acton CDP, California",own_1att,0,106.79871767629642,2626,6635.563233894734,0,1.5487331511804508e-5
