stplfips,med_age,med_rent,agg_rent,med_homeval,agg_homeval
0644924,1961,1025,8100,43900,3085000
0673815,1980,-666666666,149300,240700,106800000
0675630,1984,1639,5376800,293100,1834421900
0659426,1991,1644,535100,228400,395444000
0602364,1987,1006,8735200,215800,3650851400
0604030,1970,719,3184800,99900,435878200
0606635,1982,547,62000,78500,.
0685894,1977,1142,243900,121200,89919000
0633084,2001,800,284400,156600,.
0664294,2001,923,595700,106200,.
0611600,1950,-666666666,-666666666,-666666666,.
0628021,1979,99,6600,-666666666,.
0653116,1986,2258,3781600,714600,2844163600
0665042,1970,1503,28154400,493800,.
0686912,1964,-666666666,37300,-666666666,-666666666
0658226,1939,1555,104400,-666666666,.
0668294,1968,1211,6931800,270400,.
0677574,1969,738,1015300,150100,220832000
0669088,1986,1757,38236300,461500,21301908900
0640592,1980,1491,350200,427500,150840000
0617568,1964,1758,13620000,735600,7164380900
0646436,1955,1241,861000,589300,.
0648816,1961,1211,13218400,441500,.
0656924,1956,1259,6800800,380200,4269239000
0671876,1979,1365,3361000,445700,949789200
0673430,1957,1395,7778100,419800,.
0683402,1939,1056,1798600,358700,681973200
0684438,1975,2420,859300,866400,2760433500
0685642,1973,878,194000,280600,.
0651294,1976,864,351200,148900,152887700
0681358,1960,-666666666,38000,228800,.
0625296,1976,930,1903100,251800,.
0680448,1964,1550,31300,512100,.
0684385,1968,965,93000,396900,.
0607372,1970,-666666666,21400,37200,4713000
0651392,1973,-666666666,.,78300,.
0684606,1981,725,253300,106100,35765000
0619339,1995,2326,2353500,536700,2303501900
0613882,1984,2502,535500,667400,2595824900
0616000,1970,1459,28361800,461700,12947136300
0617988,1978,2342,5541500,976800,.
0654764,1972,1240,707500,159700,.
0668378,1991,2152,16388800,863800,15144682900
0601514,1958,860,40100,271900,.
0677392,1973,991,614100,341700,219649600
0614106,1990,-666666666,.,-666666666,.
0617267,1993,-666666666,.,295500,.
0621138,1973,-666666666,.,171400,12050000
0631029,1980,1097,34200,209000,14333000
0602042,1976,804,1487700,174000,359611600
0659920,1982,1000,18557100,245100,5085650400
0619220,1979,1110,1164500,254300,916997500
0657540,1973,1031,1785100,298900,768833000
0658030,1977,1122,656000,254600,.
0636980,1975,1087,912500,253300,304082300
0657834,1982,1275,88700,222200,58000000
0606798,1960,930,1263400,258700,172215500
0618030,1955,-666666666,-666666666,-666666666,.
0642580,1971,668,204700,250800,96870500
0647013,1984,1394,20900,406400,.
0611166,-666666666,-666666666,-666666666,-666666666,-666666666
0612930,1974,805,288200,169200,.
0631883,1979,1191,63600,273400,68153000
0639483,1987,-666666666,.,-666666666,.
0673654,-666666666,-666666666,.,-666666666,-666666666
0685086,1998,-666666666,-666666666,427800,.
0645484,1989,1278,12355800,319600,4422659100
0661026,1990,1328,2020600,381300,.
0677595,1967,895,158900,161200,.
0606475,1967,708,11900,120000,6740000
0655296,1979,-666666666,.,325700,.
0614302,1983,1138,113200,245100,69260000
0650188,1969,1246,1273400,270600,244244700
0657204,1978,1264,297700,298200,241640600
0683794,1981,686,402900,280500,.
0618996,1988,918,4811400,154600,731051600
0627014,1980,1347,126400,126900,19422000
0677042,1963,1512,138500,1055200,414936000
0681204,1980,1883,13319300,620200,8379949000
0611614,1970,778,234000,164100,.
0661096,1974,1025,405900,159100,.
0670882,1979,891,2598500,171200,707890400
0618100,1980,1377,19653100,594000,6406038300
0611040,1973,1688,3884600,585100,.
0622846,1988,1301,316300,220700,202140000
0602382,1976,2059,271200,771500,481903000
0605332,1964,1607,805500,603800,.
0640116,1966,-666666666,.,162500,.
0640746,1971,750,187800,109000,.
0646828,1985,760,1324300,139000,.
0680266,1970,1035,82200,186700,22460000
0604996,1958,1153,8733300,347300,.
0606308,1953,2036,18012800,2000001,.
0616742,1960,1340,9031500,441100,3674172000
0618352,1954,1962,2409800,532200,.
0619766,1958,1313,22428000,479500,8372963600
0630000,1963,1431,70078200,675300,17589444600
0645400,1964,2393,9779600,1694900,.
0646492,1952,1000,5386500,350800,592469900
0648648,1961,1374,10102200,606000,4068139700
0655156,1989,1214,19194100,229200,6913665300
0659052,1980,944,1158700,267400,608023900
0660018,1971,1878,26355600,817300,.
0668224,1943,3501,2191900,1550100,.
0669154,1959,1319,2392700,409200,.
0671806,1954,1487,2670400,889300,.
0680000,1962,1582,40180900,687900,21689749900
0681638,1957,1406,1806200,385900,1538216300
0640032,1960,1622,4935400,478400,5462198400
0640830,1975,1415,4222900,535900,4241161200
0640886,1962,1357,9406900,417600,.
0641880,1983,993,166000,172800,.
0645806,1976,2747,14180900,466800,179484000
0666070,1975,1610,5170200,513300,.
0667042,1958,1333,8734400,628300,3403474100
0600562,1962,1607,26276600,729100,11639060900
0600674,1952,1739,6625500,766000,3429812200
0644574,1955,1122,10270500,345100,2286368400
0623350,1969,1719,1211100,547200,1568652600
0668112,1954,1691,3238900,476600,2457976900
0618856,1981,1026,442300,278200,301583000
0652694,1987,1012,3239000,263800,.
0644000,1961,1302,1207044100,549800,371995619300
0655380,1960,2850,1810400,1637600,7414585600
0662644,1967,3152,530400,1153700,.
0673962,1971,1355,7818000,339000,.
0660606,1982,667,257300,107000,33838800
0639178,1963,2191,8466800,1570700,12774688800
0657526,1975,1662,9543300,585800,.
0653980,1972,1651,30751600,604300,15381448700
0620018,1999,2353,14814100,756800,.
0622594,1988,2038,8213200,441900,1073266700
0616532,1970,1722,42965300,671800,11055614900
0601150,1958,1038,1228400,496900,608632100
0601290,1946,1556,7044500,649800,8043078600
0636056,1951,985,10927300,357500,.
0613756,1965,1465,6041500,605700,.
0622230,1963,1160,20063400,401000,4880056100
0630014,1963,1519,7603000,517100,7015241500
0639612,1983,1092,1187000,135600,.
0618464,1992,1269,1058500,161600,504334700
0619612,1975,968,535700,134000,156919000
0631960,1983,943,7654700,192900,2092711300
0668014,1973,1454,617000,466500,182238000
0628112,1993,1197,2565100,270300,1568033100
0640410,1974,1141,2328100,257300,.
0602770,1980,1181,358700,275200,.
0619570,1984,-666666666,.,311700,39524000
0667112,1991,1106,4899700,188200,1551581300
0602924,1985,836,2131700,132300,.
0609780,1991,915,1815200,102000,257277400
0618926,1976,1045,39500,102900,.
0686944,1974,737,1234700,148300,.
0622300,1986,1167,5903900,404700,.
0639670,1986,1836,367900,342500,311670200
0622972,1969,767,74300,157700,33518900
0641936,1984,917,701700,165000,.
0677378,1977,1193,442600,192100,.
0620598,1957,2642,708500,767700,1574974200
0641282,1954,1114,133000,851000,753101900
0611250,1954,2002,1326000,1290700,.
0618590,1971,2990,737700,1170600,.
0668140,1963,973,43700,210000,.
0673612,1964,-666666666,96500,448500,46350000
0623462,1980,1122,4970700,463400,.
0630703,1973,2650,306800,604600,532242800
0629350,1982,960,152700,271600,184604500
0644784,1939,835,101200,174300,.
0648690,1975,833,172100,122700,42280000
0616630,1979,796,371000,160100,.
0671568,1982,1135,192300,175000,.
0603209,1961,858,1132400,104600,.
0622790,1986,1530,1136200,289700,538114300
0660706,1989,2140,570900,565800,510443500
0610816,1984,-666666666,.,129600,7300000
0670770,1974,1386,2337200,572700,.
0641166,1997,1362,2141700,-666666666,-666666666
0655856,1992,773,1687200,131700,224740000
0685614,1957,1203,3335800,268100,.
0633549,1991,1481,564400,257000,506389900
0640130,1985,1133,24839200,213100,5842669500
0663218,1975,1504,7545100,594400,5759252900
0648298,1972,-666666666,.,255900,.
0611446,1974,1764,4026000,617000,.
0604772,1996,-666666666,-666666666,282700,.
0648760,1973,1762,342800,870700,792496700
0664434,1950,1756,2285300,963300,4277159100
0686878,1992,1307,497500,246800,.
0659500,1984,1251,2869000,483100,4349268300
0640704,1998,1604,2450200,292900,.
0621936,1979,2142,938800,916500,1702614500
0668252,1962,2041,36664000,921700,22405940500
0673388,1958,909,170600,108800,47270000
0607568,1958,608,217400,62400,44950000
0623042,1952,847,5721000,249300,.
0636882,1959,917,103900,227400,32834000
0639108,1959,1770,1220400,878100,.
0684592,1951,1048,7679900,349500,1046711000
0623294,1976,1184,5446300,417500,.
0603526,1987,1035,55021100,228400,16451771000
0616350,1989,1462,26894100,411600,13480022800
0686244,1983,1498,653100,436500,.
0645358,1979,1153,1674100,384500,.
0609360,1973,1104,510200,127300,.
0626028,1968,756,235000,234400,65717000
0613966,1974,987,315200,124700,.
0610928,1985,1804,1507700,394900,.
0686034,1982,1233,842100,326800,481802100
0618324,1969,1042,166600,1080400,621437900
0677924,1964,1512,907300,354400,430639300
0647710,1961,2209,3622500,1242100,6550220000
0641040,1982,918,117600,138100,45926900
0608142,2002,2038,8688900,482600,.
0657764,1973,1856,10195500,633400,.
0662938,1994,1441,24742300,386300,12309287300
0685586,1985,1038,486500,166600,218229900
0644364,1951,1125,75700,97500,.
0676015,1973,1161,141700,649100,.
0621061,1955,1670,596300,450000,.
0613210,1982,1516,10902500,400900,4895052800
0664308,1987,693,52400,60400,7870000
0624092,1973,1247,1664800,354900,.
0622370,1957,1584,1153500,371200,319379300
0681652,1966,-666666666,.,308200,.
0665000,1969,987,31458100,202100,5767721500
0654274,1977,793,941200,192200,.
0663316,1971,1144,708800,210300,292521600
0618485,1989,-666666666,.,251800,42321000
0621880,1998,1897,3226200,575200,7582362800
0684732,1969,807,53800,159400,47816000
0649670,1972,2103,41481300,1079900,16441374900
0607498,1984,1524,645100,635700,917905000
0639496,1982,1846,15957200,585100,11018885100
0669000,1968,1416,60022300,421600,14256737300
0641152,1985,897,4079900,199200,890473200
0658191,1978,736,255800,102500,.
0640326,1975,1319,5820600,348900,2094515700
0644140,1981,814,209900,117000,.
0600394,1980,2261,4407900,745000,.
0646814,1968,895,185800,603200,.
0611915,1974,-666666666,.,1160300,.
0673554,1990,-666666666,.,174000,.
0604470,1965,-666666666,.,362400,.
0600135,1952,-666666666,.,896000,.
0670266,1963,1699,1284200,831300,1396650000
0610301,2007,1750,242600,1127800,1290355000
0671362,1962,-666666666,-666666666,949200,.
0660279,1976,1716,302400,911800,.
0600898,1956,-666666666,.,937500,199327800
0648718,1957,1909,583100,227500,90820000
0652162,1997,1305,768800,299100,108383200
0651622,2006,-666666666,74800,1851000,.
0683863,1967,618,200200,87700,.
0648046,1969,1548,1018200,521700,1014582400
0654652,1975,1444,35675300,390000,11063918500
0606982,1971,2223,307400,1030000,492156300
0644399,1965,2630,980000,836100,1735903400
0662980,1941,2368,217900,2000001,2011876000
0667070,1964,1828,90300,854700,109395000
0677805,1962,2635,2220600,1119700,4187536900
0686216,1962,1418,233600,716900,421786000
0630798,1974,1000,3603700,280400,.
0656518,1973,996,140400,289300,.
0631162,1956,804,99200,129600,36215000
0639420,1990,-666666666,.,409100,67571000
0678008,1955,-666666666,-666666666,178000,.
0678792,-666666666,-666666666,-666666666,-666666666,-666666666
0657582,1972,750,354600,119300,.
0686076,1981,784,1185100,143700,245541500
0608338,1951,1972,926600,674900,707287000
0686440,1963,2000,188400,2000001,.
0614736,1959,1702,308000,616200,.
0622587,1976,1991,302500,1547300,2195258400
0607218,1973,720,1693400,134000,.
0609332,1967,831,176700,119100,.
0603820,1984,990,4010500,197500,1690528700
0609864,1979,978,556700,196900,.
0634302,1982,1386,1039300,288600,607567600
0608058,1982,822,2679200,158000,648548400
0621782,1977,768,4814400,172800,1070753900
0634246,1977,668,578800,150800,137021400
0636280,2001,1216,1448500,209200,.
0644406,1972,757,405900,103800,.
0651990,1983,1148,520900,184400,214923500
0639690,1979,1707,678600,371200,504463000
0680588,1988,1470,2853200,514100,2314066400
0619262,1980,-666666666,.,935000,50990000
0662756,1987,1112,211700,298000,.
0636448,1998,1072,10702300,247900,5133637700
0650076,2000,1620,17447200,367400,8228373400
0678596,1983,1230,805400,148800,318147500
0609710,1992,859,3502400,182900,.
0619024,1981,477,64000,67700,.
0653378,1987,-666666666,-666666666,-666666666,.
0607316,1962,1820,229200,1034300,465105000
0612669,1975,2068,1120800,835100,625807500
0616462,1962,2350,2790900,1144800,3325484400
0607274,1976,801,127500,93800,.
0618394,1982,826,3744200,167900,1190507300
0630282,1987,944,1016600,229200,534323200
0637946,1986,-666666666,.,255000,.
0644280,1990,676,210500,112000,.
0614190,1985,1273,1195100,393900,.
0611964,1965,1550,11283200,634600,10174074100
0610032,1962,1286,225500,108100,.
0614218,1991,1140,16757500,284200,6246703300
0630028,1963,1816,194600,665600,.
0662546,1980,1539,12026800,377200,.
0613014,1981,977,21132500,286700,4733809200
0654388,1976,884,472800,210900,531168300
0645512,1978,635,40300,408800,.
0677784,1957,1103,102500,277000,.
0634281,1965,940,182300,108100,.
0631470,1954,1126,1140700,407200,.
0659604,1985,865,131500,92100,.
0620270,1975,1282,693500,398200,.
0602700,1977,932,418200,125100,85941100
0608786,1963,1484,15919500,482300,6340265200
0668084,1959,1392,20386400,474500,8730623900
0600884,1958,1286,22167500,553800,6411651400
0607750,1957,775,16100,-666666666,.
0636084,1993,663,809600,120700,65380900
0667056,1979,899,2684400,178900,776032600
0607946,1976,3375,46900,1687500,.
0613560,1957,1636,1342500,370300,725234700
0664420,1972,941,489300,170300,.
0642566,1972,703,216200,102200,.
0623826,1960,1446,472900,548300,657361000
0681050,1973,1476,2194400,798000,.
0608172,1955,957,712600,111200,.
0648354,1977,1070,34980700,236200,9810151000
0664210,1993,1215,1414000,241600,.
0680812,1984,1019,12238300,267100,3739739500
0684480,1994,583,78600,-666666666,.
0660942,1971,1241,1335500,223700,.
0633504,1975,1134,26200,170300,.
0634904,1998,1538,1397600,271200,.
0617708,1981,755,568900,97100,.
0630476,1991,804,300000,133200,.
0673710,1967,991,186100,189000,105764000
0638548,1974,1164,702700,382000,.
0641474,2004,1658,5698600,389900,5724156800
0651637,1979,999,2214500,310100,931689500
0607172,1982,-666666666,-666666666,24200,5160000
0660466,1981,1147,11349900,260200,4567821000
0686594,1972,1173,652100,301900,328174400
0654120,1977,1575,3562500,367500,3383431000
0670182,1978,1431,692500,775600,.
0611390,1971,1041,13579800,334900,5649884100
0624498,1982,1059,7577800,187400,.
0682852,2001,1596,2580300,343900,.
0684774,1956,1523,1386200,374900,1474365600
0648928,1945,864,168000,417900,.
0672646,1979,1708,3314500,686700,2670092400
0685922,1991,1824,3838600,504500,3349128600
0672772,1984,1123,218200,248700,.
0609122,1972,760,434900,143300,.
0644700,1974,-666666666,.,246300,.
0601444,1967,809,406700,95800,109668800
0684928,1950,948,259000,87700,.
0633588,1981,1010,5835500,288500,2926963200
0637554,1979,835,1261400,118700,201619500
0649348,1973,918,234200,132100,.
0653896,1976,1353,30834900,320000,8443621000
0687056,1980,984,3246500,160500,.
0643252,1992,1652,280400,451900,128357000
0648147,1956,1816,267700,995200,.
0633182,1983,1011,13376800,157500,3166182600
0636434,1986,857,406900,680000,.
0656700,1997,1306,8003900,239800,2444277000
0609353,1974,922,508300,130000,.
0683612,1990,966,811800,191600,338536100
0621012,1972,812,629700,121300,.
0636910,1979,748,393100,106300,.
0668028,1977,1886,6293000,635100,.
0678750,1978,915,354200,113300,38020000
0686482,1977,817,169700,89900,22571000
0659587,1992,1812,9414600,619200,.
0685880,1984,994,381200,517800,.
0653714,1977,916,1752500,153900,.
0606434,1976,943,975900,380900,.
0602553,1965,926,23830800,333900,7047140100
0613588,1976,1112,17230200,246600,4508161700
0630345,1990,1671,749800,451500,.
0685684,1962,759,972900,191200,215033300
0662896,1959,1233,8796700,489700,3417887100
0673276,1963,1344,847800,461000,774358200
0668263,1957,2441,238700,1034400,.
0651890,1978,-666666666,.,1006600,223735000
0657829,2004,1738,366100,269400,.
0610676,1971,1052,39300,98300,6863000
0672282,1990,1068,46500,-666666666,.
0616420,1965,1676,73300,362300,299593500
0618982,1976,-666666666,.,78000,4681000
0618986,1983,590,254600,37200,.
0621230,2005,2526,7984300,496000,5362174100
0656028,1964,-666666666,.,945300,448000000
0670644,1967,1757,1011400,644900,564632000
0687090,1942,-666666666,.,450000,200239400
0682815,1956,1514,1091900,378800,.
0678138,2001,2275,2412500,396200,2669535100
0685208,1986,1335,166900,125900,.
0657825,1969,1479,1615800,777900,1035310000
0673696,1976,1471,5793900,407200,2108121400
0616090,1986,1905,5107500,606100,530777400
0621292,1963,1248,1473800,476700,.
0637692,1978,1169,10137500,308900,5071535500
0607694,1944,638,79800,-666666666,.
0610508,1978,975,259200,210900,133483000
0618940,1973,878,39500,347300,.
0637022,1946,-666666666,-666666666,129900,15952000
0623000,1971,1691,425800,493400,859334200
0658478,1980,-666666666,.,74700,.
0649810,1960,-666666666,-666666666,-666666666,-666666666
0634428,1996,-666666666,.,171300,.
0624750,1998,-666666666,.,206400,.
0614442,1992,-666666666,.,244800,95717000
0651574,1976,-666666666,.,253700,10495000
0660662,1969,-666666666,.,288100,.
0659115,1981,1333,14300,220800,.
0617995,1982,-666666666,-666666666,-666666666,.
0643126,1956,-666666666,-666666666,-666666666,6525000
0614708,1967,1357,188100,362900,.
0619440,1983,939,201400,469600,320984600
0656798,1981,-666666666,.,389700,58743000
0682562,1965,529,45800,-666666666,.
0686230,1982,1050,358900,341100,474609100
0649582,2006,2547,2489100,503200,.
0683626,1960,921,75400,395500,64017000
0678568,1981,805,117700,269200,.
0678232,1984,-666666666,39500,163600,.
