tract,agg_rent,agg_homeval
06037218800,842100,.
06037218900,2005300,.
06037219010,480500,.
06037219020,883000,.
06037219300,1212400,.
06037219500,245700,.
06037219700,845100,277913000
06037219800,845800,.
06037219901,1156200,163000000
06037219902,742100,.
06037220000,1689000,270424000
06037220100,589500,.
06037221110,1025900,.
06037221120,804900,44510000
06037221210,740300,.
06037221220,961200,.
06037221302,1285100,77890000
06037221303,707700,.
06037221304,1215100,.
06037221401,1016100,.
06037221402,727800,141801000
06037221500,941100,.
06037221601,717000,81712200
06037221602,887900,.
06037221710,849900,.
06037221810,988700,.
06037221820,1358800,.
06037221900,931100,.
06037222001,596700,214139000
06037222002,959700,.
06037222100,881600,162996000
06037222200,825300,.
06037222500,1087800,181043700
06037222600,1741500,.
06037222700,268700,.
06037224010,1174300,.
06037224020,762800,12985000
06037224200,648800,.
06037224310,530800,.
06037224320,840200,.
06037224410,935400,.
06037224420,535600,.
06037224600,702800,.
06037224700,1777800,.
06037226001,506000,.
06037226002,1007400,.
06037226410,780300,74385000
06037226420,1067700,.
06037226700,1272500,.
06037227010,966100,78977000
06037227020,643700,.
06037228100,649600,.
06037228210,795900,.
06037228220,625300,97822000
06037228310,865800,.
06037228320,599400,68032000
06037228410,560400,.
06037228420,596800,42125000
06037228500,1015300,.
06037228600,976100,.
06037228710,755600,.
06037228720,836400,.
06037228800,736900,.
06037228900,382400,.
06037229100,725800,.
06037229200,730900,.
06037229300,1076200,.
06037229410,722800,.
06037229420,826600,119414000
06037231100,657600,.
06037231210,980000,66753000
06037231220,1116900,.
06037231300,1296700,.
06037231400,813900,280540900
06037231500,921600,247319200
06037231600,1530500,211850900
06037231710,1029100,.
06037231720,1413300,54189300
06037231800,1185300,141800000
06037231900,1035900,.
06037232110,779300,.
06037232120,1113900,.
06037232200,598300,109315000
06037232300,473400,.
06037232400,1082200,.
06037232500,875100,235349000
06037232600,1116500,.
06037232700,1268600,162412000
06037232800,774300,.
06037234000,868500,721861000
06037234200,519000,.
06037234300,2217500,204301000
06037234501,340200,.
06037234502,850400,.
06037234600,679700,.
06037234700,858700,.
06037234800,471600,202799000
06037234901,1105600,.
06037234902,1200600,140308000
06037235100,546100,.
06037235201,448700,211948100
06037235202,1308000,.
06037236000,696400,914961500
06037236100,2552900,.
06037236202,2689100,.
06037236203,1485400,.
06037236204,1287800,.
06037236400,1242800,657488000
06037237101,723900,137847000
06037237102,654400,.
06037237201,587800,.
06037237202,934600,.
06037237300,1143700,255824300
06037237401,542700,.
06037237402,428900,.
06037237500,624300,.
06037237600,778600,.
06037237710,956700,.
06037237720,785700,.
06037237800,332300,293438600
06037237900,629600,251325700
06037238000,1146800,.
06037238100,981600,.
06037238200,1254400,332220000
06037238310,1216800,.
06037238320,879300,.
06037238400,781600,.
06037239201,879700,.
06037239202,944600,.
06037239310,738700,.
06037239320,718200,.
06037239330,590700,67417400
06037239501,577500,102666200
06037239502,574700,.
06037239601,735400,93235300
06037239602,857400,.
06037239701,816900,73116400
06037239702,900600,90311200
06037239801,627900,.
06037239802,1139200,111771800
06037240010,719900,.
06037240020,797400,.
06037240200,1240800,.
06037240300,1224300,.
06037240401,1196900,.
06037240402,597600,.
06037240500,1409200,.
06037240600,1118200,121646000
06037240700,1024200,225067000
06037240800,656100,.
06037240900,888700,.
06037241001,647100,.
06037241002,587100,205026000
06037241110,598800,92422000
06037241120,1008500,108534400
06037241201,476700,125242800
06037241202,1075100,.
06037241300,420100,99215400
06037241400,748800,83568000
06037242000,772100,116863700
06037242100,452800,.
06037242200,1031500,149284500
06037242300,859900,.
06037242600,661200,.
06037242700,842000,147397000
06037243000,775100,.
06037243100,897500,.
06037261101,537200,2838517800
06037261102,132700,4608405300
06037261200,673800,2390918700
06037262100,234300,.
06037262200,944400,3624993000
06037262301,213800,1546260000
06037262302,594500,2661190000
06037262303,166400,.
06037262400,212500,3060802000
06037262501,712600,.
06037262601,383700,.
06037262604,1314600,.
06037262704,1294700,.
06037262706,561000,3156350000
06037262802,454700,3923331900
06037264000,720700,2896277700
06037264102,2506500,574103800
06037264103,2343900,.
06037264301,4814200,.
06037264302,4340500,.
06037265100,1289000,.
06037265201,612300,.
06037265202,3052400,.
06037265301,.,.
06037265303,2819500,.
06037265304,1393600,.
06037265305,3239400,.
06037265410,494400,596139000
06037265420,594600,.
06037265510,4116900,.
06037265520,3337900,612870000
06037265601,2072300,449236200
06037265602,1597400,1185418600
06037265700,2947500,1526844500
06037267100,2997600,1808471400
06037267200,3558800,1026723700
06037267300,3136600,.
06037267402,4157100,.
06037267403,2845100,118935000
06037267404,2914700,158910000
06037267501,3808700,342212000
06037267502,2000700,371950100
06037267600,1557200,.
06037267700,2005100,.
06037267800,1070600,.
06037267901,593500,1486023000
06037267902,1419600,966917900
06037269000,2097800,.
06037269100,2418200,.
06037269300,769500,2031159100
06037269500,661000,.
06037269601,1335700,.
06037269602,1387400,.
06037269700,1383500,586958300
06037269800,2001200,.
06037269903,2483100,.
06037269904,3234700,.
06037269905,1996400,.
06037269906,2490400,.
06037269907,2051900,.
06037270100,3483300,.
06037270200,990600,280140000
06037270300,652900,.
06037271100,624600,554767600
06037271200,1713200,.
06037271300,1538800,.
06037271400,475400,.
06037271500,1252600,.
06037271600,2646600,688665000
06037271701,3429800,.
06037271702,2550200,.
06037271801,2211400,.
06037271802,3701000,234620000
06037271901,1621900,425368900
06037271902,1679700,.
06037272100,1258700,.
06037272201,1506200,.
06037272202,1997200,226218000
06037272301,1344100,394115000
06037272302,2156200,.
06037273100,1182300,.
06037273200,1804100,651992700
06037273300,2306000,438650000
06037273402,2516100,.
06037273502,2719700,415450000
06037273600,1127600,958754000
06037273700,1157000,.
06037273800,1986800,636585000
06037273902,2771700,.
06037274100,3457100,.
06037274202,2414600,1541605200
06037275101,568500,112208600
06037275102,1168400,.
06037275200,2029600,226435500
06037275302,2771600,.
06037275311,2238200,.
06037275400,2697400,669640400
06037275500,1387400,336261100
06037275602,7063300,.
06037275603,755500,.
06037276000,804500,1544136300
06037276100,4443200,.
06037276400,521900,1238250000
06037276500,662200,.
06037276601,1199400,1325631800
06037276603,3492600,.
06037276604,3299600,.
06037277000,950800,1784812000
06037277100,296300,659114400
06037277200,1346400,.
06037277400,742700,.
06037278001,683800,.
06037278102,1628700,.
06037291110,1080300,.
06037291120,496100,.
06037291130,315800,.
06037291210,820600,273310100
06037291220,761800,183612600
06037291300,441600,312173400
06037292000,1725800,220952000
06037293201,1719000,.
06037293202,1668600,.
06037293301,524100,367690000
06037293302,1058700,487475600
06037293304,1055300,293412800
06037293306,418600,237419000
06037293307,810700,59720800
06037294110,515100,248910800
06037294120,326900,.
06037294200,538500,.
06037294301,193400,230118500
06037294302,749800,.
06037294410,978100,189534000
06037294421,669900,152580000
06037294510,865500,.
06037294520,661400,115368000
06037294610,940400,114096500
06037294620,670400,175604500
06037294701,783400,.
06037294810,944200,39440000
06037294820,779100,.
06037294830,791800,72210000
06037294900,583000,83113000
06037295103,1047000,865130200
06037296210,802300,.
06037296220,1505000,.
06037296300,1236200,.
06037296401,558900,492648200
06037296402,371200,394494100
06037296500,996200,.
06037296600,1725600,.
06037296901,1550000,.
06037296902,1582800,131036000
06037297000,1586200,782202000
06037297110,1621600,.
06037297120,1038600,.
06037297201,1277100,178655000
06037297202,973200,360944100
06037297300,751200,.
06037297400,420000,.
06037297500,1502700,898549800
06037297601,1570100,.
06037297602,1402900,.
06037300100,166000,.
06037300200,895300,.
06037300301,704500,.
06037300400,901700,891328400
06037300501,445100,511435000
06037300502,2528100,.
06037300600,3297500,823979300
06037300701,911300,.
06037300702,552300,.
06037300800,2415300,.
06037300901,715400,.
06037300902,123700,.
06037301000,2118800,485656500
06037301100,2417700,.
06037301203,1810300,.
06037301204,3175600,.
06037301205,280400,415727000
06037301206,2275300,.
06037301300,121700,.
06037301400,453800,895030000
06037301501,214900,.
06037301502,3228500,.
06037301601,2717200,.
06037301602,1396100,283680000
06037301701,837800,259330000
06037301702,2163700,159906000
06037301801,2082300,.
06037301802,2052600,106457300
06037301900,3612100,.
06037302002,1682900,135589400
06037302003,1931100,.
06037302004,2017000,.
06037302102,2379700,413048000
06037302103,2245700,.
06037302104,1786100,.
06037302201,1895700,31224000
06037302202,2072500,.
06037302301,2107500,155075000
06037302302,2331400,.
06037302401,2576500,95865000
06037302503,1589800,.
06037302504,1668100,66375000
06037302505,1775800,.
06037302506,1437900,.
06037310100,626000,1722865400
06037310201,1823100,.
06037310202,1992400,.
06037310300,288300,.
06037310400,763500,514067000
06037310501,1714400,.
06037310601,2507900,260453400
06037310602,931600,357267000
06037310701,1165300,.
06037310702,4702600,147675000
06037310703,2604000,.
06037310800,1540300,.
06037310900,1501300,913196200
06037311000,933900,.
06037311100,331400,626119800
06037311200,1161200,326800000
06037311300,864600,634391800
06037311400,528200,459541000
06037311500,2350800,705939800
06037311600,5426100,.
06037311700,2030600,900403000
06037311801,1397600,.
06037311802,1818100,72948000
06037320000,.,.
06037320100,803700,.
06037320201,1129100,93645700
06037320202,651300,385385200
06037320300,1098300,307759800
06037400204,175000,.
06037400205,58800,1212713400
06037400206,436200,1075317000
06037400207,142900,1009895200
06037400302,490900,326679900
06037400304,2086800,.
06037400402,475100,736646400
06037400403,665400,502724000
06037400404,370100,.
06037400501,106300,.
06037400602,846000,.
06037400603,732700,.
06037400604,403300,346396000
06037400800,323500,.
06037400900,972900,441627800
06037401001,247400,.
06037401002,1132500,393561000
06037401101,1315300,.
06037401102,742100,219209600
06037401201,275900,447096700
06037401202,360800,503480600
06037401203,688300,580473400
06037401303,113600,494445900
06037401304,319200,1051874400
06037401311,1197700,702568700
06037401312,516200,.
06037401500,773200,550671300
06037401601,855300,.
06037401602,1345200,454773000
06037401603,609400,320612000
06037401701,469300,.
06037401703,1303600,216437000
06037401704,1347400,.
06037401800,1318500,1064903000
06037401901,104000,.
06037401902,2252200,.
06037402001,699100,234705000
06037402002,1104900,393096000
06037402101,424600,277123900
06037402102,713100,.
06037402200,873400,.
06037402301,1030700,162846800
06037402303,744900,152898500
06037402304,689900,63298000
06037402402,1489900,.
06037402403,129400,300823000
06037402404,.,.
06037402405,204000,.
06037402406,587700,188240600
06037402501,1031300,.
06037402502,1364300,.
06037402600,1421800,388883000
06037402702,1303300,.
06037402703,642300,267868800
06037402705,211000,.
06037402706,540300,195109400
06037402801,745700,106747000
06037402803,567600,.
06037402804,886400,64025500
06037402902,925600,.
06037402903,532400,184164400
06037402904,316100,.
06037403000,423000,342616700
06037403200,.,.
06037403303,220800,300156800
06037403304,573600,.
06037403305,447100,.
06037403312,592600,556118000
06037403316,903700,858509100
06037403317,359700,719664600
06037403318,645700,.
06037403319,998900,477885000
06037403320,396000,.
06037403321,891600,970222400
06037403322,590700,.
06037403323,739200,867709000
06037403324,743800,.
06037403325,633700,825306900
06037403401,793900,851381000
06037403402,373300,.
06037403403,254900,.
06037403404,193100,650110000
06037403405,117300,403274000
06037403406,567300,.
06037403407,66100,.
06037403408,407600,1204431300
06037403500,411800,.
06037403600,1142500,928255300
06037403702,232400,436171700
06037403703,406100,694465700
06037403721,728500,386645800
06037403722,1208000,374032100
06037403801,1154600,.
06037403802,1118300,.
06037403901,316400,286290600
06037403902,676800,342080000
06037404000,727100,.
06037404100,902600,.
06037404201,504500,170024600
06037404202,365200,223751600
06037404301,1170800,180719600
06037404302,284600,131610000
06037404401,573300,.
06037404402,619400,.
06037404501,432800,.
06037404503,205300,.
06037404504,1025600,.
06037404600,128900,.
06037404701,643600,.
06037404702,918900,223392800
06037404703,620900,.
06037404801,1355200,.
06037404802,882400,150702500
06037404803,145800,.
06037404901,458500,334057500
06037404902,356400,242510000
06037404903,302000,167938600
06037405001,466600,.
06037405002,279600,148214500
06037405101,701900,320677200
06037405102,644700,182708000
06037405201,843500,.
06037405202,728100,207638700
06037405203,433900,.
06037405301,672400,218870000
06037405302,1007800,350253000
06037405400,282200,434532000
06037405500,450300,679099800
06037405600,418800,565811100
06037405701,341200,301947000
06037405702,673800,.
06037405800,752900,.
06037405900,462400,320960100
06037406000,702400,414937900
06037406101,1070300,180487300
06037406102,2058900,.
06037406200,1283100,314344600
06037406300,855600,.
06037406402,157000,285959000
06037406411,221800,160854000
06037406412,104200,329498300
06037406500,879300,575080100
06037406601,295300,625115000
06037406602,637600,.
06037406701,517400,.
06037406702,1053200,358672100
06037406800,280600,.
06037406901,588600,256289800
06037406902,241300,236160900
06037407001,418000,.
06037407002,197300,.
06037407101,436000,.
06037407102,542100,.
06037407200,553900,.
06037407301,565900,266937400
06037407302,184000,.
06037407400,135500,.
06037407501,579800,.
06037407502,397400,.
06037407601,675600,.
06037407602,445300,.
06037407701,713100,.
06037407702,601400,517098300
06037407801,159700,369214500
06037407802,181700,.
06037407900,600500,.
06037408003,449500,374806800
06037408004,569300,167618000
06037408005,679600,.
06037408006,863000,224721000
06037408133,1487500,284849200
06037408134,369300,.
06037408135,872500,296888300
06037408136,377500,.
06037408137,1112000,183584200
06037408138,400900,.
06037408139,314600,195120900
06037408140,382800,142304000
06037408141,378700,303287000
06037408202,169100,132595800
06037408211,1360100,.
06037408212,417300,539350400
06037408301,393500,.
06037408302,260300,423606800
06037408303,242500,466030700
06037408401,739700,281861600
06037408402,190100,887546900
06037408501,406200,206608000
06037408503,325400,.
06037408504,852900,455886600
06037408505,93600,.
06037408623,505300,.
06037408624,234500,.
06037408625,400400,560249800
06037408626,827200,.
06037408627,227900,524702000
06037408628,889500,699718000
06037408629,224600,.
06037408630,252300,155743400
06037408631,801900,.
06037408703,474100,1501302500
06037408704,488900,251173000
06037408705,791500,593044700
06037408706,51500,.
06037408722,509300,479545500
06037408723,389800,.
06037408724,1852700,.
06037408800,1507000,.
06037430002,1654800,505450600
06037430003,247800,.
06037430101,1186700,260119000
06037430102,457000,.
06037430200,232100,.
06037430301,383100,.
06037430302,1332500,.
06037430400,681400,.
06037430501,537300,.
06037430502,2133000,.
06037430600,532800,.
06037430701,1167400,.
06037430721,1035200,.
06037430723,1531900,365556000
06037430724,2169600,.
06037430801,2252500,.
06037430802,559700,.
06037430803,923100,.
06037430901,1395200,.
06037430902,1559200,268302000
06037431001,2624500,385858000
06037431002,789700,358011700
06037431100,1856700,.
06037431200,613500,.
06037431300,518800,.
06037431400,633600,.
06037431501,809100,531498800
06037431502,591600,462028000
06037431600,405100,1158104200
06037431700,317600,2798886100
06037431800,1044700,939272300
06037431900,1013600,.
06037432000,1195100,1191286000
06037432101,440500,.
06037432102,630000,836115500
06037432201,721600,328637800
06037432202,603400,304690500
06037432300,516800,387540800
06037432401,602500,155950000
06037432402,1068900,319656000
06037432500,1273700,.
06037432601,1178300,.
06037432602,629700,.
06037432700,867300,255714800
06037432801,599200,.
06037432802,1314600,.
06037432901,726200,.
06037432902,257900,311022000
06037433101,235800,150813800
06037433102,897800,.
06037433200,978300,256033600
06037433302,273300,46751500
06037433304,1083900,140366000
06037433305,1187800,122528000
06037433306,620900,114192800
06037433307,680800,.
06037433401,531200,102985000
06037433402,837300,.
06037433403,1133600,.
06037433501,357100,.
06037433503,619300,173670000
06037433504,927300,.
06037433601,707500,375138200
06037433602,433600,.
06037433700,477400,234297200
06037433801,1112600,315370000
06037433802,335000,.
06037433901,1211200,.
06037433902,414200,257496900
06037434001,417800,196870600
06037434003,719100,.
06037434004,503400,.
06037460000,354500,1467004900
06037460100,373700,2003662200
06037460200,1104000,1317246000
06037460301,359200,1043125900
06037460302,466300,522472000
06037460401,70300,.
06037460501,205700,2434408500
06037460502,289900,1450714300
06037460600,246300,2084439000
06037460700,367100,3029826000
06037460800,149900,2330855000
06037460900,1259100,.
06037461000,810400,.
06037461100,1215400,.
06037461200,534100,1235299600
06037461300,1691600,.
06037461400,1198200,.
06037461501,1097400,.
06037461502,1287300,345240300
06037461600,1165100,396288500
06037461700,170000,.
06037461901,1724300,.
06037461902,1632800,.
06037462001,1023600,.
06037462002,1007400,211948000
06037462100,1579300,341940800
06037462201,2011700,.
06037462202,2059200,118905000
06037462301,2054300,.
06037462302,1900200,158236600
06037462400,999000,777464600
06037462500,1469400,1073233300
06037462600,331200,.
06037462700,2005600,471534000
06037462800,951900,327512200
06037462900,565500,.
06037463000,592600,547608000
06037463101,497700,371781000
06037463102,727100,886980700
06037463200,938100,665071000
06037463300,578600,468563400
06037463400,2241000,1024698000
06037463500,3013000,737790000
06037463601,4135400,.
06037463602,4475800,232708400
06037463700,2088400,.
06037463800,352000,.
06037463900,1395200,809524500
06037464000,1516500,2191374000
06037464100,872300,.
06037464200,1319600,.
06037480002,317200,765419500
06037480011,1388900,.
06037480012,866000,.
06037480101,582200,543414000
06037480102,674900,.
06037480201,345200,.
06037480202,281600,.
06037480302,1361500,.
06037480303,1323600,.
06037480304,1786900,135022000
06037480400,1617500,.
06037480500,1329100,.
06037480600,3832000,1004988800
06037480702,896600,.
06037480703,1047800,629280000
06037480704,2014100,.
06037480802,389500,.
06037480803,680100,357034200
06037480804,1793500,289834600
06037480901,1451800,219227000
06037480902,1453500,.
06037480903,662300,.
06037481001,1229100,246108200
06037481002,1585200,324072600
06037481101,1586800,178455000
06037481102,1709900,.
06037481103,894200,358905000
06037481201,868600,336480000
06037481202,1137000,.
06037481300,411400,.
06037481401,1389100,386948300
06037481402,1078400,.
06037481500,556700,.
06037481603,916600,283471400
06037481604,1238200,221503000
06037481605,961200,151505000
06037481606,1323200,275850700
06037481711,1288300,174600000
06037481712,1347200,.
06037481713,876700,165410000
06037481714,650000,96955000
06037481800,287400,387568800
06037481901,904100,724039300
06037481902,645500,.
06037482001,164600,528589300
06037482002,1437200,.
06037482101,721800,481575000
06037482102,384400,376603500
06037482201,875700,.
06037482202,1040900,.
06037482301,1047100,.
06037482303,1155800,.
06037482304,816500,111402000
06037482401,783200,155705200
06037482402,824900,.
06037482502,536100,194203400
06037482503,934700,187335000
06037482521,576800,451424200
06037482522,945600,314438800
06037482600,924100,847113200
06037482701,669200,334852400
06037482702,250500,.
06037482800,582000,491882000
06037500100,67600,.
06037500201,389900,.
06037500202,288700,1381196000
06037500300,249600,513384100
06037500402,815200,.
06037500403,107300,405656200
06037500404,394700,.
06037500500,256100,.
06037500600,352000,.
06037500700,657200,526857500
06037500800,471800,.
06037500900,932300,328795200
06037501001,374600,184875700
06037501002,665500,432046300
06037501200,593400,447067300
06037501300,1385300,607710800
06037501400,1182300,151808400
06037501501,177200,.
06037501503,1817500,.
06037501504,1423500,.
06037501600,865500,1231614000
06037501700,503700,.
06037501802,948000,.
06037501803,1333600,.
06037501804,684300,58620100
06037501900,282900,.
06037502003,379400,172841800
06037502004,545400,.
06037502005,707000,335767000
06037502100,739700,313710000
06037502200,702000,454962100
06037502301,541900,.
06037502302,537500,.
06037502401,589000,306777300
06037502402,226800,282408300
06037502500,644600,.
06037502601,513600,557478500
06037502602,840200,255154000
06037502700,540400,588890400
06037502801,542900,545049000
06037502802,1015000,.
06037502901,293000,481494700
06037502902,677300,180455000
06037503000,690900,246768500
06037503103,529300,311111000
06037503104,365400,122519000
06037503105,660600,.
06037503106,887700,285700900
06037503201,282900,415070300
06037503202,494500,285881500
06037503301,110600,399744000
06037503302,1042700,506300000
06037503401,1324200,.
06037503402,527100,467509200
06037503501,1164700,.
06037503502,423900,374612500
06037503601,75300,507848700
06037503602,250600,717751000
06037503701,820600,665359300
06037503702,653200,.
06037503703,1454100,.
06037503801,591200,.
06037503802,470300,599446500
06037503901,168000,343549300
06037503902,457700,525439300
06037504001,546700,.
06037504002,449200,.
06037504101,472300,321214400
06037504102,.,.
06037530003,243000,553370000
06037530004,630800,.
06037530005,263800,.
06037530006,1524400,.
06037530101,1513600,.
06037530102,1121100,249905600
06037530202,397600,336630300
06037530203,757600,.
06037530204,1115500,108544000
06037530301,448400,64096100
06037530302,1099800,305946600
06037530400,511700,186022000
06037530500,698700,.
06037530601,463300,.
06037530602,200700,.
06037530700,312800,98009000
06037530801,959300,161857700
06037530802,485000,162584600
06037530901,731000,92647300
06037530902,715700,.
06037531000,873500,.
06037531101,1029100,.
06037531102,723500,69854400
06037531201,1028400,.
06037531202,913600,90539500
06037531301,1029700,.
06037531302,1096400,.
06037531502,680600,.
06037531503,696300,.
06037531504,727800,109035000
06037531602,885700,.
06037531603,633700,.
06037531604,705300,.
06037531701,1019600,.
06037531702,1050400,.
06037531800,745400,190528000
06037531901,1287000,.
06037531902,631700,.
06037532001,729100,.
06037532002,760200,.
06037532101,1602700,.
06037532102,471400,.
06037532200,1412400,227405700
06037532302,643600,.
06037532303,813400,.
06037532304,656900,131975900
06037532400,12800,.
06037532500,843500,101822000
06037532603,617700,58601000
06037532604,600900,60750600
06037532605,846300,.
06037532606,877100,.
06037532700,533200,67830000
06037532800,745700,81882800
06037532900,1258600,151415000
06037533001,814000,.
06037533002,319800,76385400
06037533103,708700,.
06037533104,992700,30360000
06037533105,646600,.
06037533106,349600,34632800
06037533107,847900,.
06037533201,525200,74015000
06037533202,434500,97443100
06037533203,315800,.
06037533300,649200,.
06037533401,958200,.
06037533402,748500,96958000
06037533403,612400,.
06037533501,603500,70004600
06037533502,319300,.
06037533503,344200,55796000
06037533601,1084900,.
06037533602,1032600,118605800
06037533603,1329800,191416100
06037533701,649100,.
06037533702,830500,.
06037533703,938600,.
06037533803,1209300,235409000
06037533804,792800,.
06037533805,668800,123694000
06037533806,717000,.
06037533901,1439400,.
06037533902,776700,96529000
06037534001,1065000,.
06037534002,820000,126405000
06037534101,430400,.
06037534102,1486100,106395300
06037534201,868500,.
06037534202,1153500,.
06037534203,693800,108647900
06037534301,1044400,.
06037534302,800700,62795000
06037534403,739300,.
06037534404,813400,.
06037534405,1046700,22504500
06037534406,1169800,.
06037534501,654900,222815700
06037534502,399100,.
06037534700,215600,.
06037534802,308100,.
06037534803,732300,.
06037534804,542700,131027200
06037534900,1038900,.
06037535001,561700,.
06037535002,593600,.
06037535101,1309400,.
06037535102,733200,.
06037535200,895400,.
06037535300,852200,183838900
06037535400,561200,.
06037535501,831100,.
06037535502,967800,.
06037535503,468000,.
06037535603,660600,.
06037535604,634400,140400700
06037535605,757500,.
06037535606,323800,.
06037535607,492200,209966700
06037535701,971300,.
06037535702,945600,.
06037535802,859500,.
06037535803,850100,.
06037535804,1006900,166643000
06037535901,818000,273670300
06037535902,629200,369434200
06037536000,723100,.
06037536102,433100,236995000
06037536103,783000,280567800
06037536104,653800,176558400
06037536200,1148700,497372200
06037540000,1063600,.
06037540101,746300,.
06037540102,948100,262447500
06037540201,496900,.
06037540202,1349800,.
06037540203,1040300,.
06037540300,706800,163671500
06037540400,300100,45335100
06037540501,667300,191533500
06037540502,1366400,57893000
06037540600,735200,.
06037540700,459700,116895000
06037540800,662700,.
06037540901,754500,143072900
06037540902,735200,249803500
06037541001,64800,118523200
06037541002,169400,265602400
06037541100,291600,.
06037541200,706000,360352700
06037541300,622400,313570300
06037541400,1089200,162994600
06037541500,877200,138038700
06037541603,462800,51214500
06037541604,1025500,.
06037541605,978300,.
06037541606,448500,.
06037541700,594100,.
06037541801,734800,590595000
06037541802,637900,221231100
06037542000,560400,214243500
06037542103,522200,.
06037542104,305600,.
06037542105,819100,.
06037542106,482100,.
06037542200,699800,252282300
06037542401,535500,203162200
06037542402,337500,154359800
06037542501,551400,187262600
06037542502,1087600,75198000
06037542601,407500,.
06037542602,753300,215253900
06037542700,588600,.
06037542800,198900,197675900
06037542900,264700,.
06037543000,575300,.
06037543100,796700,331897900
06037543201,445900,165739000
06037543202,780100,156096500
06037543304,330700,789529900
06037543305,76300,.
06037543306,969000,516326200
06037543321,362700,579162300
06037543322,373500,876398800
06037543400,241300,290114400
06037543501,1016600,.
06037543502,695000,306823300
06037543503,1114700,362518600
06037543601,435800,.
06037543602,955100,770612500
06037543603,295800,.
06037543604,346200,.
06037543701,228500,184211300
06037543702,1006100,396792800
06037543703,251600,277670400
06037543801,378200,284336000
06037543802,1328200,.
06037543903,209900,315705200
06037543905,599600,145462900
06037544001,551700,262084900
06037544002,259500,.
06037550000,55600,.
06037550100,440600,620145300
06037550201,402700,185868500
06037550202,425500,432035200
06037550300,1177500,.
06037550400,114900,152172400
06037550500,1072300,1026961200
06037550601,1186800,369340000
06037550602,280000,619383100
06037550700,901800,.
06037550800,1427200,675202000
06037550901,1331200,162918000
06037550902,1853300,343115000
06037551000,1163600,.
06037551101,1063300,.
06037551102,1895300,61940000
06037551201,714300,.
06037551202,1779900,441929000
06037551300,1647900,.
06037551401,1121700,235376000
06037551402,709000,369793000
06037551501,961800,348690400
06037551502,657000,329928400
06037551600,.,.
06037551700,884700,441511500
06037551800,1254900,590975000
06037551900,581400,.
06037552001,363900,.
06037552002,786800,133848700
06037552100,779400,410321800
06037552200,1599900,141674200
06037552301,917600,.
06037552302,651600,.
06037552400,194200,163754700
06037552601,360800,427311600
06037552602,752500,248083000
06037552700,620900,533664100
06037552800,1053200,.
06037552900,1362400,327088000
06037553000,424700,376048400
06037553100,1559600,356456800
06037553200,657600,659339500
06037553300,223000,.
06037553400,407400,240931000
06037553502,773400,.
06037553503,539600,.
06037553504,854500,203278900
06037553601,1062100,.
06037553602,1307300,.
06037553701,621700,.
06037553702,740800,132540400
06037553801,981200,.
06037553802,1458100,134218500
06037553901,903100,351885500
06037553902,1538300,117533900
06037554001,614700,270342500
06037554002,1223400,237644800
06037554101,835000,.
06037554103,211900,.
06037554104,689100,.
06037554105,1792700,.
06037554201,793700,256287900
06037554203,929900,184445300
06037554204,1533900,.
06037554301,886000,103878300
06037554302,1059700,.
06037554403,1623800,109201300
06037554404,1231400,.
06037554405,1090000,.
06037554406,929100,376221700
06037554511,520500,.
06037554512,773300,1271311400
06037554513,568400,324720200
06037554514,809200,.
06037554515,311500,.
06037554516,354100,.
06037554517,895800,623477000
06037554518,504200,.
06037554519,366000,709995100
06037554521,1212500,765426300
06037554522,458100,797825800
06037554600,970400,222101900
06037554700,488000,.
06037554801,393300,187056500
06037554802,1315100,391566000
06037554900,1552700,.
06037555001,880800,442596000
06037555002,807600,211128000
06037555102,1288700,253760300
06037555103,1135200,341544100
06037555104,824000,241043000
06037555202,187100,587756000
06037555211,870200,.
06037555212,797100,156780000
06037570001,533500,525726800
06037570002,317100,335753800
06037570003,564000,418456400
06037570100,369700,259525200
06037570202,639000,.
06037570203,1060800,.
06037570204,868000,162973000
06037570301,1840200,184001000
06037570303,760300,165098700
06037570304,936300,.
06037570402,366600,.
06037570403,863600,110863900
06037570404,515800,185363900
06037570501,954300,489982000
06037570502,1059400,318835700
06037570601,1142500,.
06037570602,1219500,287289900
06037570603,1683800,35113500
06037570701,1695000,.
06037570702,262900,303458200
06037570800,741800,.
06037570901,545900,.
06037570902,521100,456903000
06037571000,450000,.
06037571101,466400,.
06037571102,648900,542740900
06037571200,2023100,943802400
06037571300,289300,.
06037571400,857700,.
06037571502,1020500,352412300
06037571503,751300,365225200
06037571504,1396100,403211800
06037571600,373400,.
06037571701,1380200,204178100
06037571703,716300,.
06037571704,766000,.
06037571800,658800,713271200
06037571900,1432800,777800000
06037572001,1239900,731869200
06037572002,2245300,.
06037572100,44100,95170500
06037572201,1174700,457249000
06037572202,379700,392662000
06037572301,822400,.
06037572302,453900,.
06037572400,57900,.
06037572500,473600,117910500
06037572600,436300,.
06037572700,496500,.
06037572800,152800,.
06037572900,1008600,.
06037573002,1135500,31335000
06037573003,277100,143784000
06037573004,1521000,.
06037573100,1864200,321927400
06037573201,1019400,.
06037573202,1135300,221652200
06037573300,890900,.
06037573401,409000,.
06037573402,2325100,.
06037573403,626900,572817200
06037573601,913000,.
06037573700,457100,768698900
06037573800,420200,696588100
06037573902,226400,.
06037574000,465500,.
06037574100,801700,.
06037574201,279400,505100100
06037574202,574100,.
06037574300,882800,1012983000
