tract,agg_rent
06007000300,1284100
06007000401,927200
06007000402,1170500
06007000501,652200
06007000502,1418300
06007000601,622700
06007000603,841100
06007000604,1411700
06007000700,1120500
06007000800,1092200
06007000901,280400
06007000903,1920600
06007000904,1161400
06007001000,1138300
06007001100,1181400
06007001200,1020800
06007001300,739500
06007001400,548900
06007001500,693500
06007001600,213000
06007001702,554000
06007001703,348100
06007001704,219800
06007001800,619100
06007001900,159500
06007002000,1095400
06007002100,724400
06007002200,636300
06007002300,404000
06007002400,292400
06007002500,584100
06007002601,98800
06007002602,431900
06007002700,549200
06007002800,835400
06007002900,345100
06007003001,366800
06007003002,509900
06007003100,442100
06007003200,343000
06007003300,173500
06007003400,322500
06007003501,391400
06007003502,540700
06007003600,321200
06007003700,633100
06009000120,299100
06009000121,775900
06009000122,399200
06009000210,839200
06009000220,535100
06009000300,674000
06009000400,258000
06009000501,381100
06009000503,146900
06009000504,25700
06011000100,450000
06011000200,514200
06011000300,584800
06011000400,253600
06011000500,381300
06013301000,316600
06013302005,1241700
06013302006,195100
06013302007,815600
06013302008,894000
06013302009,1840000
06013302010,682800
06013303102,1170700
06013303103,2289800
06013303201,1696800
06013303202,692000
06013303203,1612700
06013303204,754100
06013303205,1134000
06013304001,628100
06013304002,226500
06013304003,588500
06013304004,720500
06013304005,1056300
06013305000,1874000
06013306002,363700
06013306003,949100
06013306004,823500
06013307101,666100
06013307102,1144900
06013307201,574100
06013307202,1467900
06013307204,439500
06013307205,2147700
06013308001,1316400
06013308002,603500
06013309000,877000
06013310000,1284000
06013311000,895700
06013312000,376100
06013313101,1728000
06013313102,1100800
06013313103,1592400
06013313203,431200
06013313204,1073500
06013313205,214900
06013313206,979000
06013314102,762400
06013314103,1241000
06013314104,1622400
06013314200,914900
06013315000,402100
06013316000,372800
06013317000,875800
06013318000,886700
06013319000,1650400
06013320001,586100
06013320003,298200
06013320004,1481000
06013321101,1895600
06013321102,995500
06013321103,445300
06013321200,2257300
06013322000,1450900
06013323000,742600
06013324001,4083600
06013324002,2926100
06013325000,1268800
06013326000,403200
06013327000,1328300
06013328000,1775800
06013329000,1008400
06013330000,961800
06013331000,1521600
06013332000,1114500
06013333101,815900
06013333102,701600
06013333200,1218800
06013334001,895900
06013334004,2045900
06013334006,741400
06013334200,818300
06013335000,748100
06013336101,1845800
06013336102,3105300
06013336201,913400
06013336202,1807500
06013337100,452700
06013337200,2127000
06013337300,1025000
06013338101,1486200
06013338102,377800
06013338201,354500
06013338203,3059800
06013338204,2674200
06013338301,346400
06013338302,713300
06013339001,3260200
06013339002,4953200
06013340001,2203400
06013340002,1391400
06013341000,1234400
06013343001,1884000
06013343002,1096500
06013343003,416800
06013345101,922300
06013345102,228000
06013345103,612200
06013345105,890500
06013345108,2127800
06013345111,1724300
06013345112,1979800
06013345113,126100
06013345114,714500
06013345115,1191100
06013345116,411900
06013345202,2728800
06013345203,1700900
06013345204,170800
06013346101,340800
06013346102,325200
06013346201,521700
06013346203,211800
06013346204,578100
06013347000,404400
06013348000,513900
06013349000,1604400
06013350000,2202800
06013351101,74600
06013351102,253600
06013351103,73500
06013351200,183700
06013352101,173800
06013352102,310700
06013352201,1295800
06013352202,327200
06013353001,302800
06013353002,387400
06013354001,215400
06013354002,766300
06013355107,551000
06013355108,2020400
06013355109,734100
06013355110,691300
06013355111,858000
06013355112,281700
06013355113,441500
06013355114,1201100
06013355115,2882000
06013355116,1122500
06013355117,674300
06013355200,2065100
06013355301,735800
06013355302,.
06013355304,436100
06013355306,335500
06013356001,338200
06013356002,382600
06013357000,976300
06013358000,1325600
06013359102,1119100
06013359103,946800
06013359104,402600
06013359105,507900
06013359202,802800
06013359203,784300
06013359204,295700
06013360101,513700
06013360102,396600
06013360200,947900
06013361000,950700
06013362000,487000
06013363000,1037500
06013364002,1017900
06013365002,1063300
06013365003,2514800
06013366001,880500
06013366002,1203900
06013367100,1067400
06013367200,1128500
06013368001,896000
06013368002,772700
06013369001,2092800
06013369002,663200
06013370000,567300
06013371000,1127700
06013372000,1236600
06013373000,619800
06013374000,1181600
06013375000,1109300
06013376000,1127700
06013377000,1470700
06013378000,1038800
06013379000,1333600
06013380000,2233300
06013381000,1424500
06013382000,1740600
06013383000,1220000
06013384000,368100
06013385100,300900
06013385200,282000
06013386000,1639900
06013387000,986000
06013388000,861100
06013389100,811800
06013389200,969400
06013390100,342300
06013390200,222600
06013391000,412700
06013392000,172100
06013392200,2176100
06013392300,266900
06013990000,.
06015000101,936400
06015000102,298100
06015000104,153900
06015000105,848000
06015000201,323600
06015000202,262800
06015000203,126200
06015990000,.
06017030200,1048400
06017030301,604200
06017030302,782400
06017030401,514300
06017030402,704200
06017030502,150200
06017030504,349300
06017030505,341400
06017030601,389000
06017030602,422000
06017030603,130200
06017030701,318700
06017030704,761200
06017030706,719700
06017030709,93300
06017030710,198200
06017030801,330000
06017030803,1179200
06017030804,220900
06017030807,393000
06017030808,608600
06017030809,374400
06017030810,726600
06017030901,202500
06017030902,233800
06017031000,974900
06017031100,508100
06017031200,604900
06017031301,333600
06017031302,519900
06017031402,254500
06017031404,126800
06017031405,107700
06017031406,267300
06017031502,924000
06017031503,70100
06017031504,352100
06017031600,951400
06017031700,105000
06017031800,855500
06017031900,.
06017032000,74200
06017990000,.
06019000100,352800
06019000200,418700
06019000300,420400
06019000400,526600
06019000501,516400
06019000502,574800
06019000600,1032300
06019000700,505000
06019000800,172700
06019000901,333100
06019000902,607600
06019001000,498200
06019001100,338800
06019001201,674500
06019001202,783900
06019001301,729700
06019001303,279100
06019001304,721000
06019001407,1089700
06019001408,485300
06019001409,218900
06019001410,813300
06019001411,841800
06019001412,170800
06019001413,511200
06019001414,548400
06019001500,251900
06019001600,570000
06019001700,734200
06019001800,400800
06019001900,285700
06019002000,889800
06019002100,919500
06019002200,895500
06019002300,685500
06019002400,768800
06019002501,925800
06019002502,737800
06019002601,741100
06019002602,323300
06019002701,556800
06019002702,764300
06019002800,727800
06019002903,760800
06019002904,285600
06019002905,547700
06019002906,770300
06019003001,455600
06019003003,859900
06019003004,198800
06019003102,1821000
06019003103,1280400
06019003104,922700
06019003201,812200
06019003202,1127100
06019003301,369700
06019003302,905500
06019003400,912300
06019003500,893400
06019003600,702200
06019003701,605500
06019003702,906600
06019003803,823200
06019003804,622600
06019003805,1156400
06019003807,603400
06019003808,447900
06019003809,1085800
06019003810,700100
06019003900,430400
06019004001,857400
06019004002,756600
06019004100,168900
06019004205,1174500
06019004207,843600
06019004208,595200
06019004210,1023500
06019004211,1072500
06019004212,3330600
06019004213,596900
06019004214,799300
06019004215,550600
06019004216,313300
06019004301,262500
06019004302,457700
06019004303,345200
06019004404,850000
06019004405,405500
06019004406,1312900
06019004408,1268800
06019004409,879500
06019004503,1119600
06019004504,1082600
06019004505,1472300
06019004506,452000
06019004601,372400
06019004602,192200
06019004701,1382000
06019004703,634500
06019004704,868000
06019004801,929400
06019004802,817300
06019004901,639800
06019004902,247000
06019005000,894000
06019005100,1219600
06019005202,596100
06019005203,759200
06019005204,844200
06019005301,907300
06019005302,1066400
06019005304,1331800
06019005305,629100
06019005403,877000
06019005405,405500
06019005406,419800
06019005407,645600
06019005408,492900
06019005409,1059000
06019005410,650700
06019005503,1257800
06019005504,424800
06019005505,1101100
06019005507,930400
06019005508,774300
06019005509,1015100
06019005510,1809100
06019005512,828300
06019005513,405300
06019005514,717900
06019005515,176100
06019005516,2014300
06019005517,1109300
06019005518,363300
06019005520,133100
06019005522,745500
06019005524,698500
06019005525,48200
06019005602,1320500
06019005605,113100
06019005606,615100
06019005607,1483700
06019005608,624000
06019005701,703400
06019005702,588500
06019005703,318300
06019005704,947300
06019005801,1317000
06019005802,422300
06019005804,905500
06019005805,186200
06019005904,226000
06019005905,433500
06019005906,190100
06019005907,499400
06019005909,516800
06019005911,407700
06019005912,148500
06019006000,997600
06019006100,882000
06019006201,250000
06019006202,750500
06019006300,451600
06019006402,162400
06019006403,153900
06019006404,270600
06019006405,343800
06019006501,759100
06019006502,517400
06019006602,751400
06019006603,353300
06019006604,926600
06019006700,542800
06019006802,294300
06019006900,303700
06019007002,675200
06019007003,842100
06019007004,556800
06019007100,747300
06019007201,863800
06019007202,358400
06019007300,452900
06019007400,342700
06019007500,459700
06019007600,530100
06019007700,519500
06019007801,222100
06019007802,740900
06019007901,.
06019007902,325400
06019008000,604600
06019008100,844500
06019008200,590100
06019008301,711900
06019008302,657700
06019008401,825300
06019008402,120100
06019008501,501100
06019008502,1033400
06021010100,1005500
06021010200,315200
06021010300,163300
06021010400,1096300
06021010501,372500
06021010502,135300
06023000100,1247000
06023000200,1127000
06023000300,968300
06023000400,603800
06023000500,1277400
06023000600,809400
06023000700,822000
06023000800,1316800
06023000900,624100
06023001000,1916400
06023001101,1636200
06023001200,922000
06023001300,281100
06023010102,220000
06023010200,257400
06023010300,429900
06023010400,546600
06023010501,1137200
